participant,contrast,center_x,center_y,center_z,mean_intensity,std_intensity
SUJETO_665D6EAB,BM,-14,8,10,2.46818045534269,0.708317034672941
SUJETO_685CAE59,BM,-14,8,10,-0.111290161093377,0.309348542856162
SUJETO_6FCE57C3,BM,-14,8,10,0.544396554609065,0.491630235506646
SUJETO_725769F0,BM,-14,8,10,0.477829161542233,0.237950739013835
SUJETO_72B8E12C,BM,-14,8,10,0.780163242208837,0.342262929335327
SUJETO_74A044C9,BM,-14,8,10,0.904729184779254,0.245462798199529
SUJETO_774F4A36,BM,-14,8,10,0.805762669203257,0.424515063007567
SUJETO_7B0E6648,BM,-14,8,10,1.28947207482174,0.295850402185145
SUJETO_7E1D6F1A,BM,-14,8,10,-0.189448915384334,0.556295455235597
SUJETO_80570E8A,BM,-14,8,10,0.622987454474875,0.468752860253066
SUJETO_80F4D7DA,BM,-14,8,10,-1.10541734417355,0.797209080492864
SUJETO_85DB03A2,BM,-14,8,10,0.168896554188445,0.438458793244951
SUJETO_8E872371,BM,-14,8,10,0.433525570113249,0.669694463751868
SUJETO_96083B42,BM,-14,8,10,0.056459328037395,0.653444370768511
SUJETO_9AE17E76,BM,-14,8,10,1.55043976223378,0.806343699695422
SUJETO_9D0BD287,BM,-14,8,10,1.46099271256514,0.406501297325791
SUJETO_A90BAD1A,BM,-14,8,10,0.585676944504182,0.753297868511039
SUJETO_ACAFF5CE,BM,-14,8,10,-0.603836525636114,0.673979114174449
SUJETO_B7FBB303,BM,-14,8,10,5.99709090628106,3.16822684296714
SUJETO_C28223BA,BM,-14,8,10,0.469165155541791,0.362062349374888
SUJETO_C36569E9,BM,-14,8,10,0.961078725886917,0.425043973196608
SUJETO_C3D9E000,BM,-14,8,10,1.57690866396885,0.861113139648677
SUJETO_C730BC55,BM,-14,8,10,0.931142294948751,0.288305828781122
SUJETO_C9AC0C57,BM,-14,8,10,1.16512018649115,0.715452378872046
SUJETO_CFEB32C5,BM,-14,8,10,1.75571492645476,0.440205855650458
SUJETO_D04E11ED,BM,-14,8,10,1.33279615219193,0.203963677812099
SUJETO_D72D8A7C,BM,-14,8,10,0.889487593387715,1.09586129521928
SUJETO_DABE6ACB,BM,-14,8,10,-0.739781058628601,0.700267854633215
SUJETO_DCC3C5A9,BM,-14,8,10,1.07391845577895,0.319825334515769
SUJETO_DCCC88FD,BM,-14,8,10,-0.288584623151845,0.356006875879665
SUJETO_E1314C94,BM,-14,8,10,1.79147956407431,0.593815183802875
SUJETO_E29AEEC5,BM,-14,8,10,1.23974695560908,0.490903715123887
SUJETO_E844AFE8,BM,-14,8,10,0.975915726086106,0.947063213247099
SUJETO_E9306FB7,BM,-14,8,10,-0.0673196736083488,0.459952934452679
SUJETO_E97CF70E,BM,-14,8,10,1.4169363259065,0.507821653350002
SUJETO_E9EC652D,BM,-14,8,10,0.215152592990886,0.237130859964848
SUJETO_EAFB7359,BM,-14,8,10,1.48383501623616,0.198361343573583
SUJETO_EFE9883F,BM,-14,8,10,0.0963817918767231,0.393657548388952
SUJETO_FDDFFE87,BM,-14,8,10,1.19446261799095,0.373480500316073
